link,title,enroll_count,provider,num_ratings,description
https://www.coursera.org/professional-certificates/google-it-support,Google IT Support,1105233,Google,146123,"Prepare for a career in the high-growth field of IT, no experience or degree required. Get professional training designed by Google and get on the fast-track to a competitively paid job. There are 400,000 U.S. job openings in IT and a $52,000 median entry-level salary in IT support.¹

Over 5 courses, learn in-demand skills that prepare you for an entry-level job. Upon completion, you can directly apply for jobs with Google and over 150 U.S. employers, including Walmart, Best Buy, and Astreya.

75% of Google Career Certificate Graduates in the United States report an improvement in their career trajectory (e.g. new job or career, promotion or raise) within 6 months of certificate completion²

This program also prepares you for the CompTIA A+ exams, the industry standard certification for IT—you’ll earn a dual credential when you complete both.

This program is ACE® approved—when you complete, you can earn up to 12 college credits, the equivalent of 4 associate degree-level courses.

If you’re interested in building on your IT foundations, check out the Google IT Automation with Python Professional Certificate.

Check out all Google Career Certificates here.

¹US Burning Glass Labor Insight Report salary data (median with 0-5 years experience) and job opening data. Data for job roles relevant to featured programs (4/01/2021 - 3/31/22).

²Based on program graduate survey responses, United States 2021"
https://www.coursera.org/learn/foundations-data,"Foundations: Data, Data, Everywhere",1303388,Google,65871,"This is the first course in the Google Data Analytics Certificate. These courses will equip you with the skills you need to apply to introductory-level data analyst jobs. Organizations of all kinds need data analysts to help them improve their processes, identify opportunities and trends, launch new products, and make thoughtful decisions. In this course, you’ll be introduced to the world of data analytics through hands-on curriculum developed by Google. The material shared covers plenty of key data analytics topics, and it’s designed to give you an overview of what’s to come in the Google Data Analytics Certificate. Current Google data analysts will instruct and provide you with hands-on ways to accomplish common data analyst tasks with the best tools and resources.Learners who complete this certificate program will be equipped to apply for introductory-level jobs as data analysts. No previous experience is necessary.

By the end of this course, you will:
- Gain an understanding of the practices and processes used by a junior or associate data analyst in their day-to-day job. 
- Learn about key analytical skills (data cleaning, data analysis, data visualization) and tools (spreadsheets, SQL, R programming, Tableau) that you can add to your professional toolbox. 
- Discover a wide variety of terms and concepts relevant to the role of a junior data analyst, such as the data life cycle and the data analysis process. 
- Evaluate the role of analytics in the data ecosystem. 
- Conduct an analytical thinking self-assessment. 
- Explore job opportunities available to you upon program completion, and learn about best practices in the job search."
https://www.coursera.org/learn/technical-support-fundamentals,Technical Support Fundamentals,1282262,Google,127729,"This course is the first of a series that aims to prepare you for a role as an entry-level IT Support Specialist. In this course, you’ll be introduced to the world of Information Technology, or IT. You’ll learn about the different facets of Information Technology, like computer hardware, the Internet, computer software, troubleshooting, and customer service. This course covers a wide variety of topics in IT that are designed to give you an overview of what’s to come in this certificate program.By the end of this course, you’ll be able to:
● understand how the binary system works
● assemble a computer from scratch
● choose and install an operating system on a computer
● understand what the Internet is, how it works, and the impact it has in the modern world
● learn how applications are created and how they work under the hood of a computer
● utilize common problem-solving methodologies and soft skills in an Information Technology setting"
https://www.coursera.org/specializations/key-technologies-for-business,Key Technologies for Business,13231,IBM Skills Network,1166,"In this Specialization, we will cover 3 key technologies that are foundational and driving significant growth and innovation. These are Cloud Computing, Data Science, and Artificial Intelligence (AI).

Technology is essential for the future of business. Almost any organization that wants to modernize or get ahead, and anyone working there, needs to understand and leverage these essential technologies.

The courses in this Specialization provide foundational knowledge of Cloud, Data and AI, including business drivers behind their growth, the value they provide, their applications and use cases, and an understanding of how these technologies work. You will not only become familiar with the buzzwords associated with these technologies, but also experience them in action and develop hands-on skills to start working with them.

This Specialization is suitable for a variety of learners who are beginners with these technologies, including managers and executives, professionals who want to upskill, and students getting ready to start a career.

There is no special prior knowledge or hardware required. The only pre-requisites are basic computer literacy, device with a modern web browser with internet connectivity, and motivation to self-learn online."
https://www.coursera.org/professional-certificates/google-it-automation,Google IT Automation with Python,485471,Google,28839,"This beginner-level, six-course certificate, developed by Google, is designed to provide IT professionals with in-demand skills -- including Python, Git, and IT automation -- that can help you advance your career.

Knowing how to write code to solve problems and automate solutions is a crucial skill for anybody in IT. Python, in particular, is now the most in-demand programming language by employers.

This program builds on your IT foundations to help you take your career to the next level. It’s designed to teach you how to program with Python and how to use Python to automate common system administration tasks. You'll also learn to use Git and GitHub, troubleshoot and debug complex problems, and apply automation at scale by using configuration management and the Cloud.

This certificate can be completed in about 6 months and is designed to prepare you for a variety of roles in IT, like more advanced IT Support Specialist or Junior Systems Administrator positions. Upon completion, you can share your information with potential employers, like Walmart, Sprint, Hulu, Bank of America, Google (of course!), and more.

We recommend that you have Python installed on your machine. For some courses, you’ll need a computer where you can install Git or ask your administrator to install it for you.

If you’d like to learn the fundamentals of IT support, check out the beginner level Google IT Support Professional Certificate.

Check out all Google Career Certificates here."
https://www.coursera.org/professional-certificates/google-cloud-developer,Preparing for Google Cloud Certification: Cloud Developer,0,Google Cloud,57,"A Cloud Developer designs, builds, analyzes, and maintains cloud-native applications. This learning path guides you through a curated collection of on-demand courses, labs, and skill badges that provide you with real-world, hands-on experience using Google Cloud technologies essential to the Cloud Developer role. Once you complete the path, check out the Google Cloud Developer certification to take the next steps on your professional journey."
https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,Preparing for Google Cloud Certification: Cloud DevOps Engineer,27448,Google Cloud,2130,"This program provides the skills you need to advance your career as a data engineer and provides training to support your preparation for the industry-recognized Google Cloud Professional DevOps Engineer certification. 87% of Google Cloud certified users feel more confident in their cloud skills.You'll also have the opportunity to practice key job skills using Google Cloud to build software delivery pipelines, deploy and monitor services, and manage and learn from incidents. You will learn to apply SRE principles to a service, techniques for monitoring, troubleshooting, and improving infrastructure and application performance among other things.

Your journey to Google Cloud certification:

1) Complete the Coursera Site Reliability Engineering and DevOps Professional Certificate

2) Review other recommended learning resources for the Google Cloud Professional Cloud DevOps Engineer certification exam

3) Review the Professional Cloud DevOps Engineer exam guide

4) Take the Professional Cloud DevOps Engineer practice exam

5) Register for the Google Cloud certification exam (Can be taken remotely or at a test center)"
https://www.coursera.org/learn/python-crash-course,Crash Course on Python,697499,Google,27811,"This course is designed to teach you the foundations in order to write simple programs in Python using the most common structures. No previous exposure to programming is needed. By the end of this course, you'll understand the benefits of programming in IT roles; be able to write simple programs using Python; figure out how the building blocks of programming fit together; and combine all of this knowledge to solve a complex programming problem. We'll start off by diving into the basics of writing a computer program. Along the way, you’ll get hands-on experience with programming concepts through interactive exercises and real-world examples. You’ll quickly start to see how computers can perform a multitude of tasks — you just have to write code that tells them what to do."
https://www.coursera.org/professional-certificates/gcp-cloud-architect,Preparing for Google Cloud Certification: Cloud Architect,40541,Google Cloud,10128,"Google Cloud Professional Cloud Architect certification was ranked #2 on Global Knowledge's list of 15 top-paying certifications in 2021! Enroll now! to prepare!

This program provides the skills you need to advance your career in cloud architecture and provides a pathway to earn the industry-recognized Google Cloud Professional Cloud Architect certification. You'll deploy solution elements, including infrastructure components such as networks, systems and applications services, and you'll gain real world experience through hands-on Qwiklabs projects that you can share with potential employers.

You'll also have the opportunity to practice key job skills, including case analysis, identifying technical watchpoints, and developing proposed solutions. Test your basic abilities with Activity Tracking Challenge Labs. For learners looking to get certified, this program will provide sample questions similar to those on the exam, including solutions and practice exam quizzes that simulate the exam-taking experience.

Upon successful completion of this program, you will earn a certificate of completion to share with your professional network and potential employers. If you'd like to earn your Google Cloud certification, you will need to register for and pass the certification exam. Please note that this program helps equip you with the skills you need to take the certification exam, but the certification and certification fee is not included in the cost of this training program."
https://www.coursera.org/professional-certificates/cloud-engineering-gcp,Preparing for Google Cloud Certification: Cloud Engineer,33877,Google Cloud,8887,"This program provides the skills you need to advance your career in cloud architecture and provides a pathway to earn the industry-recognized Google Cloud Associate Cloud Engineer certification. Through a combination of presentations, demos, and labs, you'll explore and deploy solution elements, including infrastructure components such as networks, systems and applications services; and you'll gain real world experience through a number of hands-on Qwiklabs projects that you can share with potential employers.

You'll also have the opportunity to practice key job skills, such as setting up a cloud environment and configuring and deploying a solution in the cloud. For learners looking to get certified, this program will also provide sample questions similar to those on the exam, including solutions and practice exam quizzes that simulates the exam-taking experience.

Upon successful completion of this program, you will earn a certificate of completion to share with your professional network and potential employers. If you'd like to earn your Google Cloud certification, you will need to register for and pass the certification exam. Please note that this program helps equip you with the skills you need to take the certification exam, but the certification and certification fee is not included in the cost of this training program."
