link,title,enroll_count,provider,num_ratings,description
https://www.coursera.org/specializations/professional-epidemiology,Epidemiology in Public Health Practice,35184,Johns Hopkins University,3145,"This specialization is intended for people working or aspiring to work in the field of public health at the local, regional, and national level. Over five courses taught by faculty from the preeminent school of public health, you'll learn to use the core epidemiologic toolset to measure the health of populations, assess interventions, collect and analyze data, and investigate outbreaks and epidemics."
https://www.coursera.org/learn/epidemiology,Epidemiology: The Basic Science of Public Health,182457,The University of North Carolina at Chapel Hill,4238,"Often called “the cornerstone” of public health, epidemiology is the study of the distribution and determinants of diseases, health conditions, or events among populations and the application of that study to control health problems. By applying the concepts learned in this course to current public health problems and issues, students will  understand the practice of epidemiology as it relates to real life and makes for a better appreciation of public health programs and policies. This course explores public health issues like cardiovascular and infectious diseases – both locally and globally – through the lens of epidemiology."
https://www.coursera.org/specializations/public-health-epidemiology,Epidemiology for Public Health,13473,Imperial College London,824,"Thousands of new epidemiological studies are conducted every year and their results can have a profound impact on how we live our lives. Decisions regarding the food you eat, how much you exercise, where you live and what treatment you will follow if you get sick are made based on data from such studies. This specialization aims to equip you with the skills that will allow you to correctly interpret epidemiological research, consider its limitations, and design your own studies.

The first course of the specialisation, Measuring Disease in Epidemiology, looks into the main measures used in epidemiology and how these can inform decisions around public health policy, screening and prevention.

The second course, Study Designs in Epidemiology, provides an overview of the most common study designs, their strengths and limitations.

The third course, Validity and Bias in Epidemiology, builds on the fundamental concepts taught in the previous courses to discuss bias and confounding and how they might affect study results. It also provides the essential skills to prevent and control bias and confounding and critically think about causality.

At the end of this specialization you will have gained the essential skills to design and critique epidemiological research and you will be able to pursue more advanced courses in epidemiology. Although this specialization is part of the GMPH programme, it can be taken independently of the GMPH."
https://www.coursera.org/specializations/ai-healthcare,AI in Healthcare,14506,Stanford University,935,"Artificial intelligence (AI) has transformed industries around the world, and has the potential to radically alter the field of healthcare. Imagine being able to analyze data on patient visits to the clinic, medications prescribed, lab tests, and procedures performed, as well as data outside the health system -- such as social media, purchases made using credit cards, census records, Internet search activity logs that contain valuable health information, and you’ll get a sense of how AI could transform patient care and diagnoses.

In this specialization, we'll discuss the current and future applications of AI in healthcare with the goal of learning to bring AI technologies into the clinic safely and ethically.

This specialization is designed for both healthcare providers and computer science professionals, offering insights to facilitate collaboration between the disciplines.

CME Accreditation

The Stanford University School of Medicine is accredited by the Accreditation Council for Continuing Medical Education (ACCME) to provide continuing medical education for physicians. View the full CME accreditation information on the individual course FAQ page."
https://www.coursera.org/learn/telehealth,Foundations of Telehealth,0,Johns Hopkins University,12,"Telemedicine has proven itself to be an important part of the future of healthcare. In this course, students will be introduced to the key components and considerations needed to design and implement a successful telemedicine program at both the practice and health system levels. The course emphasizes operational design principles and highlights a team based approach. Key content areas include clinical considerations, patient safety, technology needs, patient satisfaction, legal, government affairs, regulatory and compliance, and billing considerations."
https://www.coursera.org/learn/womens-health-human-rights,International Women's Health and Human Rights,90845,Stanford University,1369,"This course focuses on women’s health and human rights issues from infancy through old age, including information about positive interventions relating to those issues.  Learners are encouraged to interact with each other through interactive discussions.  It is important to us that this course be available to all learners.  We encourage you to apply for Coursera's financial aid (see link to left) if the cost of the course certificate is difficult for you to afford.  Please note that you may view all materials in this course, and participate in it, without purchasing a certificate.

The course was co-created by Consulting Professor Anne Firth Murray and Kevin Hsu. Anne Firth Murray is the Content Director of the course; Kevin Hsu is the Design Director of the course."
https://www.coursera.org/learn/cancer,Introduction to the Biology of Cancer,182049,Johns Hopkins University,6713,"Over 500,000 people in the United States and over 8 million people worldwide are dying every year from cancer. As people live longer, the incidence of cancer is rising worldwide and the disease is expected to strike over 20 million people annually by 2030. This open course is designed for people who would like to develop an understanding of cancer and how it is prevented, diagnosed, and treated.The course introduces the molecular biology of cancer (oncogenes and tumor suppressor genes) as well as the biologic hallmarks of cancer. The course also describes the risk factors for the major cancers worldwide, including lung cancer, breast cancer, colon cancer, prostate cancer, liver cancer, and stomach cancer. We explain how cancer is staged, the major ways cancer is found by imaging, and how the major cancers are treated.

In addition to the core materials, this course includes two Honors lessons devoted to cancers of the liver and prostate.

Upon successful completion of this course, you will be able to:

- Identify the major types of cancer worldwide. (Lecture 1)
- Describe how genes contribute to the risk and growth of cancer. (Lecture 2)
- List and describe the ten cellular hallmarks of cancer. (Lecture 3)
- Define metastasis, and identify the major steps in the metastatic process. (Lecture 4)
- Describe the role of imaging in the screening, diagnosis, staging, and treatments of cancer. (Lecture 5)
- Explain how cancer is treated. (Lecture 6)

We hope that this course gives you a basic understanding of cancer biology and treatment. The course is not designed for patients seeking treatment guidance – but it can help you understand how cancer develops and provides a framework for understanding cancer diagnosis and treatment."
https://www.coursera.org/learn/essentials-global-health,Essentials of Global Health,63090,Yale University,1825,"Essentials of Global Health is a comprehensive introduction to global health. It is meant to introduce you to this topic in well-structured, clear and easy to understand ways. Much of the course will focus on five questions: What do people get sick, disabled and die from; Why do they suffer from these conditions? Which people are most affected? Why should we care about such concerns? What can be done to address key health issues, hopefully at least cost, as fast as possible, and in sustainable ways?  The course will be global in coverage but with a focus on low- and middle-income countries, the health of the poor, and health disparities. Particular attention will be paid throughout the course to health systems issues, the linkages between health and development, and health matters related to global interdependence. The course will cover key concepts and frameworks but be practical in orientation.ESSENTIALS OF GLOBAL HEALTH WAS PRODUCED IN PART DUE TO THE GENEROUS FUNDING OF THE DAVID F. SWENSEN FUND FOR INNOVATION IN TEACHING.

-------------------------------------------------------------------------------------------------------------------------------------------------------

Course Learning Objectives

By the end of the course, learners should be able to:

•	Articulate key public health concepts related to global health;
•	Analyze the key issues in global health from a number of perspectives;	
•	Discuss with confidence the burden of disease in various regions of the world; how it varies by sex, age, and location; key risk factors for this burden; and how the disease burden can be addressed in cost-effective ways;
•	Assess key health disparities, especially as they relate to the health of low-income and marginalized people in low- and middle-income countries; 
•	Outline the key actors and organizations in global health and the manner in which they cooperate to address critical global health concerns;
•	Review key global health challenges that are likely to arise in the coming decades.


-------------------------------------------------------------------------------------------------------------------------------------------------------

Value Added of the Course

The course seeks to add special value by being comprehensive, by handling each  topic in a consistent framework, and by helping learners gain an understanding of well grounded approaches to assessing global health issues and what can be done to address them.


-------------------------------------------------------------------------------------------------------------------------------------------------------

The Readings and other materials for Essentials of Global Health

For almost every session of Essentials of Global Health, you will see: 

- Required readings
- Recommended readings
- Recommended videos

We have selected a small number of readings for each session that are central to understanding the content of the session. We have put these under “required readings”.

For each required reading, we have also indicated how carefully you should read the material and on what parts of the material you should focus your attention.

In addition, we have selected some additional readings that would be very helpful to your understanding the content of each session. 

The first is a textbook, Global Health 101, third edition. This is a comprehensive introductory textbook that closely follows the content of this Essentials of Global Health course. We have indicated for each session what part of the book you should read. Using this textbook can be very valuable to your mastering the content of the course.

The second set of “recommended readings” is some additional readings, mostly from journal articles and reports. For these, too, we have indicated how carefully you should read the material and on what parts of the material you should focus your attention.

Learners should note that to access articles from The Lancet they will have to register with the Lancet, if they do not have online access to a library that has The Lancet. Once they are registered, they will be able to sign into The Lancet and access all of its free articles.

We have also indicated for most sessions one or two videos that relate to the topic of the session. These are meant to help the learner get a better feel for the topic which is being covered. Most learners will find the videos brief, easy and enjoyable to watch, and very enlightening."
https://www.coursera.org/learn/global-quality-maternal-and-newborn-care,Global Quality Maternal and Newborn Care,8880,Yale University,167,"This course is designed for administrators, advocates, policy makers, clinicians, and service users. It will give you the background, recommendations, and tools you need to address issues related to high quality maternal and newborn care in your own setting.  In particular, you will learn about the evidence behind implementing the midwifery model of care as a means to advancing the health and wellbeing of mothers and babies globally. The modules in this course are structured around the Quality Maternal and Newborn Care Framework, first published in the landmark 2014 Lancet Series on Midwifery. You will learn from nearly 20 expert contributors as they discuss their research and personal experiences in low, middle, and high resource settings."
https://www.coursera.org/learn/global-health-introduction,An Introduction to Global Health,27605,University of Copenhagen,783,"This course will provide you with an overview of the most important health challenges facing the world today. You will gain insight into how challenges have changed over time, we will discuss the likely determinants of such changes and examine future projections. Successful international strategies and programs promoting human health will be highlighted and global health governance structures will be mapped and the role of the key actors explored."
