link,title,enroll_count,provider,num_ratings,description
https://www.coursera.org/specializations/modern-contemporary-art-design,Modern and Contemporary Art and Design,36220,The Museum of Modern Art,1898,"This Specialization will introduce you to the art of our time. Through original films and audio, you will go behind the scenes to look closely at artworks and into studios to hear directly from artists, designers, curators and others. This Specialization is for anyone who would like to learn more about modern and contemporary art. No prior knowledge is required. Enroll to receive invitations to virtual events, gain exclusive access to MoMA resources, and share ideas with an international learner community.

Start with Modern Art & Ideas to learn how artists have taken inspiration from their environment and responded to social issues over the past 150 years. Next, take a deep dive into Seeing Through Photographs, exploring photography from its origins in the mid-1800s through the present. This course addresses the gap between seeing and truly understanding photographs by introducing ideas, approaches and technologies that inform their making.

Explore artworks made since 1980 in What Is Contemporary Art? Ranging from 3-D–printed glass and fiber sculptures to performances in a factory, the works in this course introduce you to the diverse materials, motivations and methods of artists working today. Complete the Specialization with Fashion as Design, and investigate the choices you make about fashion in relation to expression, sustainability, labor practices, identity and more. Learn from makers working with clothing every day—and, in some cases, reinventing it for the future."
https://www.coursera.org/learn/modern-art-ideas,Modern Art & Ideas,421199,The Museum of Modern Art,5968,"Welcome to Modern Art & Ideas! This course is designed for anyone interested in learning more about modern and contemporary art. Over the next five weeks, you will look at art through a variety of themes: Places & Spaces, Art & Identity, Transforming Everyday Objects, and Art & Society. Each week kicks off with a video that connects works of art from The Museum of Modern Art’s collection to the theme. You will hear audio interviews with artists, designers, and curators and learn more about selected works in the additional readings and resources.Throughout this course you will discover how artists:
-- represent place and take inspiration from their environment,
-- create works of art to express, explore, and question identity,
-- use everyday objects to challenge assumptions about what constitutes a work of art and how it should be made,
-- and respond to the social, cultural, and political issues of their time through works of art.

Through the discussion forum prompts and peer review assignment, you will also have the opportunity to connect with other learners and explore how these themes resonate with your own life and experience."
https://www.coursera.org/learn/fashion-design,Fashion as Design,253702,The Museum of Modern Art,2707,"Among all objects of design, our clothes are the most universal and intimate. Like other kinds of design, fashion thrives on productive tensions between form and function, automation and craftsmanship, standardization and customization, universality and self-expression, and pragmatism and utopian vision. It exists in the service of others, and it can have profound consequences—social, political, cultural, economic, and environmental.Fashion as Design focuses on a selection of more than 70 garments and accessories from around the world, ranging from kente cloth to jeans to 3D-printed dresses. Through these garments, we’re going to look closely at what we wear, why we wear it, how it’s made, and what it means. You’ll hear directly from a range of designers, makers, historians, and others working with clothing every day—and, in some cases, reinventing it for the future. Studio visits, interviews, and other resources introduce the history and development of each garment and their changing uses, meanings, and impact over time. 

Course Learning Objectives:

Develop critical tools to appreciate and contextualize fashion design—from everyday clothing to couture garments—through many different perspectives. 

Trace the history, development, and impact of garments over time, and explore how they may be reinvented.

Investigate garments through multiple lenses including politics, identity, and economics. 

Understand more about the lifecycle of clothing, from its design and production to its marketing, distribution, and consumption. 

Better comprehend the choices you make about fashion with respect to the visual language of dress, individual and collective identities, and issues such as labor practices, sustainability, and body politics."
https://www.coursera.org/learn/painting,In the Studio: Postwar Abstract Painting,123114,The Museum of Modern Art,1348,"Want to know how some of the 20th century’s most celebrated artists made abstract paintings? This course offers an in-depth, hands-on look at the materials, techniques, and thinking of seven New York School artists, including Willem de Kooning, Yayoi Kusama, Agnes Martin, Barnett Newman, Jackson Pollock, Ad Reinhardt, and Mark Rothko. Through studio demonstrations and gallery walkthroughs, you’ll form a deeper understanding of what a studio practice means and how ideas develop from close looking, and you’ll gain a sensitivity to the physical qualities of paint. Readings and other resources will round out your understanding, providing broader cultural, intellectual, and historical context about the decades after World War II, when these artists were active.The works of art you will explore in this course may also serve as points of departure to make your own abstract paintings. You may choose to participate in the studio exercises, for which you are invited to post images of your own paintings to the discussion boards, or you may choose to complete the course through its quizzes and written assessments only.

Learners who wish to participate in the optional studio exercises may need to purchase art supplies. A list of suggested materials is included in the first module.


Learning Objectives:

Learn about the materials, techniques, and approaches of seven New York School artists who made abstract paintings.

Trace the development of each artist’s work and studio practice in relation to broader cultural, intellectual, and historical contexts in the decades after World War II.

Hone your visual analysis skills.

Use each artist’s works as a point of departure for making your own abstract paintings."
https://www.coursera.org/learn/photography,Seeing Through Photographs,390113,The Museum of Modern Art,4161,"Taking, sharing, and viewing photographs has become second nature for many of us. Given our near-constant engagement with images this course will help you dig into the meaning of pictures and reconsider photography’s role in our visual culture. This course aims to address the gap between seeing and truly understanding photographs by introducing a diversity of ideas, approaches, and technologies that inform their making. In this course you will look closely at 100 photographs from the collection of The Museum of Modern Art, going behind the scenes of the Museum and into artist studios through original films and audio interviews. You will hear a variety of perspectives on the ways photography has been used throughout its 180-year history: as a means of artistic expression, a tool for science and exploration, an instrument of documentation, a way to tell stories and record histories, and a mode of communication and critique. Short texts and readings from MoMA publications provide enhanced context for the works in the course. 

By enrolling in this course, you’ll join a community of international learners in discussion forums, receive invitations to live and virtual events from our lead instructor Sarah Meister, and gain exclusive access to MoMA resources.

UPDATE:
We’ve been listening to your feedback! In September 2020, we launched new content in Seeing Through Photographs, including audio interviews with additional contemporary artists from around the world, videos of Sarah introducing key ideas, and almost doubling the number of photographs from the collection. We’ve also added opportunities for you to share and receive feedback on your photographs in the discussion forums."
https://www.coursera.org/learn/art-activity,Art & Activity: Interactive Strategies for Engaging with Art,101422,The Museum of Modern Art,1151,"Art can be a powerful catalyst for building skills and understanding a range of subjects. Intended for primary and secondary teachers of all disciplines, Art & Activity builds upon the inquiry-based approaches of Art and Inquiry: Museum Teaching Strategies for Your Classroom, while delving into activity-based strategies that will make your students empowered participants."
https://www.coursera.org/learn/earth-climate-change,Our Earth's Future,33519,American Museum of Natural History,726,"Our Earth’s Future is about the science of climate change and how to talk about it. You will learn from scientists in the fields of climatology, oceanography, Earth science, and anthropology who study how climate change is affecting people, populations, and ways of life. Explore the multiple lines of evidence for the human-induced climate change that is happening today, and consider what that means for the future of our planet. At the end of this course you will be able to understand key scientific principles, identify and address misconceptions, and contribute confidently to conversations about climate change."
https://www.coursera.org/learn/contemporary-art,What Is Contemporary Art?,149776,The Museum of Modern Art,1700,"What is contemporary art? In this course, you’ll consider this question through more than 70 works of art made between 1980 and the present, with a focus on art from the past decade. You’ll hear directly from artists, architects, and designers from around the globe about their creative processes, materials, and inspiration.Five themes serve as your guide: Media from Television to the Internet, Territories & Transit, Materials & Making, Agency, and Power. You’ll look at 3-D–printed glass and fiber sculptures, performances in a factory and a museum, painted portraits—as well as those made with artificial intelligence—and interventions into television and video games. And much more, all drawn from the collection of The Museum of Modern Art. 

Come along as artists invite us into their studios, out into their neighborhoods, and to experiment with the materials they use. Not only will you develop a deeper understanding of how artists work today, you’ll also explore some of their many approaches to the pressing issues and questions of our time. By taking this course, you’ll gain confidence to look at contemporary art wherever you encounter it and make connections to your own life or creative practice."
https://www.coursera.org/specializations/modern-contemporary-art-design,Modern and Contemporary Art and Design,36220,The Museum of Modern Art,1898,"This Specialization will introduce you to the art of our time. Through original films and audio, you will go behind the scenes to look closely at artworks and into studios to hear directly from artists, designers, curators and others. This Specialization is for anyone who would like to learn more about modern and contemporary art. No prior knowledge is required. Enroll to receive invitations to virtual events, gain exclusive access to MoMA resources, and share ideas with an international learner community.

Start with Modern Art & Ideas to learn how artists have taken inspiration from their environment and responded to social issues over the past 150 years. Next, take a deep dive into Seeing Through Photographs, exploring photography from its origins in the mid-1800s through the present. This course addresses the gap between seeing and truly understanding photographs by introducing ideas, approaches and technologies that inform their making.

Explore artworks made since 1980 in What Is Contemporary Art? Ranging from 3-D–printed glass and fiber sculptures to performances in a factory, the works in this course introduce you to the diverse materials, motivations and methods of artists working today. Complete the Specialization with Fashion as Design, and investigate the choices you make about fashion in relation to expression, sustainability, labor practices, identity and more. Learn from makers working with clothing every day—and, in some cases, reinventing it for the future."
https://www.coursera.org/learn/foundations-user-experience-design,Foundations of User Experience (UX) Design,713159,Google,43369,"Foundations of User Experience (UX) Design is the first of a series of seven courses that will equip you with the skills needed to apply to entry-level jobs in user experience design. UX designers focus on the interactions that people have with products like websites, mobile apps, and physical objects. UX designers make those everyday interactions usable, enjoyable, and accessible. The role of an entry-level UX designer might include empathizing with users, defining their pain points, coming up with ideas for design solutions, creating wireframes, prototypes, and mockups, and testing designs to get feedback. Current UX designers and researchers at Google will serve as your instructors, and you will complete hands-on activities that simulate real-world UX design scenarios.

Learners who complete the seven courses in this certificate program should be equipped to apply for entry-level jobs as UX designers. No previous experience is necessary.

By the end of this course, you will be able to: 
   - Define the field of UX and explain why it’s important for consumers and businesses.
   - Understand foundational concepts in UX design, such as user-centered design, the design process, accessibility, and equity-focused design. 
   - Identify the factors that contribute to great user experience design.
   - Review common job responsibilities of entry-level UX designers and teams that they work with.
   - Explore job opportunities and career paths within the field of user experience.  
   - Explain why design sprints are an important and useful part of a UX designer’s work.
  - Describe common UX research methods. 
   - Identify and account for biases in UX research."
https://www.coursera.org/specializations/graphic-design,Graphic Design,294182,California Institute of the Arts,14708,"Graphic design is all around us, in a myriad of forms, both on screen and in print, yet it is always made up of images and words to create a communication goal. This four-course sequence exposes students to the fundamental skills required to make sophisticated graphic design: process, historical context, and communication through image-making and typography. The sequence is completed by a capstone project that applies the skills of each course and peer feedback in a finished branding project suitable for a professional portfolio.

The goal of this specialization is to equip learners with a set of transferable formal and conceptual tools for “making and communicating” in the field of graphic design. This core skill set will equip learners for formal studies in graphic design, and a starting point for further work in interface design, motion graphics, and editorial design."
https://www.coursera.org/learn/fundamentals-of-graphic-design,Fundamentals of Graphic Design,641684,California Institute of the Arts,15770,"Graphic Design is all around us! Words and pictures—the building blocks of graphic design—are the elements that carry the majority of the content in both the digital world and the printed world. As graphic design becomes more visible and prevalent in our lives, graphic design as a practice becomes more important in our culture.Through visual examples, this course will teach you the fundamental principles of graphic design: imagemaking, typography, composition, working with color and shape... foundational skills that are common in all areas of graphic design practice. I don't just want you to watch a video of someone talking about design, I want you to MAKE design! If you want to be a designer you have to be a maker and a communicator, so this course will offer you lots of opportunities to get your hands dirty with exercises and with more practical projects.

At the end of this course you will have learned how to explore and investigate visual representation through a range of image-making techniques; understand basic principles of working with shape, color and pattern; been exposed to the language and skills of typography; and understand and have applied the principles of composition and visual contrast. If you complete the course, along with its optional (but highly recommended) briefs, you will have a core set of graphic design skills that you can apply to your own projects, or to more deeply investigate a specialized area of graphic design.

To succeed in this course you will need access to a computer. You can complete this course without one but it will be tougher. Access to, and a beginner's level knowledge of Adobe Creative Suite programs, such as Illustrator, Photoshop and InDesign will help you, especially if you want to complete the optional briefs."
