link,title,enroll_count,provider,num_ratings,description
https://www.coursera.org/specializations/russian-for-beginners-a1,Russian for beginners А1. Русский язык: A1,0,---,0,---
https://www.coursera.org/specializations/russkiy-kak-inostrannyy,Русский как иностранный,0,---,0,---
https://www.coursera.org/learn/careerdevelopment,English for Career Development,1890815,University of Pennsylvania,13301,"Welcome to English for Career Development, a course created by the University of Pennsylvania, and funded by the U.S. Department of State Bureau of Educational and Cultural Affairs, Office of English Language Programs. To enroll in this course for free, click on “Enroll now” and then select ""Full Course.  No certificate.""

This course is designed for non-native English speakers who are interested in advancing their careers in the global marketplace.  In this course, you will learn about the job search, application, and interview process in the United States, while comparing and contrasting the same process in your home country. This course will also give you the opportunity to explore your global career path, while building your vocabulary and improving your language skills to achieve your professional goals. The first unit in this course will introduce the U.S. job application process and provide strategies for identifying the jobs that match your interests and skills. Unit 2 will take you through the steps necessary to produce a professional-looking resume. In unit 3, you will work to develop a clear and concise cover letter. The final unit of the course focuses on networking and interview skills.

Anyone may take this course for free. If you want to get a Coursera Verified Certificate for free, please fill out the Financial Aid form.

 Unless otherwise noted, all course materials are available for re-use, repurposing and free distribution under a Creative Commons 4.0 Attribution license.

Supplemental reading materials were provided by Newsela, which publishes daily news articles at a level that's just right for each English language learner."
https://www.coursera.org/specializations/improve-english,Improve Your English Communication Skills,548124,Georgia Institute of Technology,14881,"This Specialization helps you improve your professional communication in English for successful business interactions. Each course focuses on a particular area of communication in English: writing emails, speaking at meetings and interviews, giving presentations, and networking online. Whether you want to communicate to potential employers, employees, partners or clients, better English communication can help you achieve your language and professional goals. The Capstone course will focus especially on making those important connections to take your career or business to the next level. Make yourself more competitive by improving your English through this Specialization: Improve Your English Communication Skills."
https://www.coursera.org/learn/learn-korean,First Step Korean,1277792,Yonsei University,45571,"This is an elementary-level Korean language course, consisting of 5 lessons with 4 units, and covers 4 skills: reading, writing, listening and speaking. The main topics include basic expressions used in everyday life, such as greetings, introducing yourself, talking about your family and a daily life and so on. Each lesson covers dialogues, pronunciation, vocabulary, grammar, quizzes and role-plays. After completing this course, you will be able to
1. read and write Korean alphabet.
2. communicate in Korean with basic expressions.
3. learn basic knowledge on Korean culture.

It’s fun and easy to follow! Enjoy it!"
https://www.coursera.org/learn/learn-chinese,Chinese for Beginners,1139165,Peking University,17936,"Nowadays, there is an increasing number of people who are interested in Chinese culture and language. And it is useful to know about the language when coming to China for travel or business. This is an ABC Chinese course for beginners, including introduction of phonetics and daily expressions. After taking this class, learners can have a basic understanding of Chinese Mandarin and make basic conversations of daily living such as exchanging personal information, talking about daily arrangements and food, asking about price, introducing the city and the weather, telling your hobbies etc. Selected topics and situations come from real life scenarios and can be used for everyday communications. In addition to the dialogues, the selection of reading materials and practice activities will make the content as rich and varied as possible, in order to stimulate the learners’ interests. This is an elementary course on Chinese speaking. The learners don’t need to study Chinese characters, so it is easier to follow and complete this course."
https://www.coursera.org/learn/speak-english-professionally,"Speak English Professionally: In Person, Online & On the Phone",835802,Georgia Institute of Technology,9539,"Do you want to speak better English? This course will help you reach that goal. Speak English Professionally: In person, Online and On the Phone will boost your English speaking skills. In this 5 week course, you will learn how to identify and make a strong personal introduction. You will develop and demonstrate the speaking skills for group discussions: how to agree or disagree, how to clarify, restate and summarize. You will review and practice how to give information and respond to requests on the phone. You will study and role play effective interviewing. You will  prepare and give a sales “pitch”, introducing a product or service. Throughout the course, you will adjust how you speak English and you will become more fluent and accurate when you speak. You will demonstrate  culturally appropriate body language and tone. As you work through the course, you will complete self- and peer-evaluations. Through a combination of lectures, comprehension and vocabulary quizzes, practice and performance, you’ll gain the skills and confidence to communicate well  in English, anywhere in the world.	By the end of this course you will:
•      Change how you speak English
•	Improve your pronunciation and fluency  
•       Increase your English vocabulary 
•	Identify how culture influences your speech
•	Use culture to help you speak correctly 
•	Demonstrate the best body language for different cultural settings
•	Know statements, questions and responses for different settings and situations"
https://www.coursera.org/learn/professional-emails-english,Write Professional Emails in English,825082,Georgia Institute of Technology,15793,"This is a course to help you write effective business emails in English. This course is unique because each module will provide tips on writing more professional emails as well as lessons to improve your overall English writing skills. Therefore, you will improve your grammar and vocabulary skills for email writing and also improve your cross cultural knowledge to make you more powerful and successful in your business communication. You will look at different email formats to analyze tone, formality levels, and various organizational styles. You will be able to improve your emails of introduction, announcements, requests and emails that apologize or revise a request. In this course you will write and revise 4–5 emails, complete several comprehension quizzes and review the emails of other participants.  By the end of this course, you will be able to 
•	Improve your overall written English skills
•	See differences and similarities among the different email formats 
•	Write more effective subject lines and email text
•	Apply various key language to different types of emails
•	Correct common errors such as punctuation and capitalization
•	Study tone and level of formality in emails 
•	Understand how culture affects what is appropriate in a business emails 
•	Write powerful business emails for professional needs"
https://www.coursera.org/learn/grammar-punctuation,Grammar and Punctuation,665379,"University of California, Irvine",18472,"Course 1: Grammar and PunctuationDo you need to review English grammar? Have you forgotten the grammar you once studied? If so, this course is perfect for you.

The first course in this specialization is a refresher on some tools needed for good writing. It will help prepare you for the other courses. You will need about 10 hours to complete this first course. Writing is a skill and to learn a skill well, you need to practice. In this course, you will watch short video lectures and then practice and discuss what you have learned. Make sure you take good notes and use the peer discussions to ask questions. Then you'll be able to remember the rules you learn in this course when you start writing essays in the next course.

After completing this course, you will be able to:
 - identify the correct verb tenses to use
 - use commas effectively
 - utilize several different sentence types
 - write more effectively in English

Please note that the free version of this class gives you access to all of the instructional videos and handouts. The peer feedback and quizzes are only available in the paid version."
https://www.coursera.org/learn/etudier-en-france,Étudier en France: French Intermediate course B1-B2,442441,École Polytechnique,4335,"Ce cours de français de niveau intermédiaire B1/B2, conforme aux exigences du Cadre européen de Référence pour les Langues, s’inscrit dans le double dispositif “former avec le numérique”et “langue et interculturalité” mis en place par l’Université Paris Saclay. Il s’adresse à tous les étudiants souhaitant poursuivre leurs études supérieures en France. Il leur permettra non seulement d’avoir le niveau requis en français pour suivre des cours dans le système supérieur français en termes de compétences linguistiques, mais les aidera à s’adapter à leur nouvel environnement dans les meilleures conditions. Ce cours propose en effet une immersion dans l’univers étudiant à travers des vidéos de cours, des textes de multiples formats, de courts extraits de films et de vidéos authentiques qui donnent la parole à des étudiants français ou étrangers vivant en France. Les étudiants pourront ainsi travailler toutes les compétences (compréhension orale et écrite, expression orale et écrite, grammaire et vocabulaire), puis tester ensuite leurs acquis grâce aux nombreux quiz proposés et, chaque semaine, ils auront aussi la possibilité de participer aux débats et aux discussions organisés sur le forum. 
Découvrir la vie en France et dans le monde francophone à travers ses cultures, ses littératures, ses films, ses journaux télévisés et sa langue (standard et plus familière) et comprendre le système d’enseignement supérieur français (assister à un cours magistral, comprendre le fonctionnement de l’évaluation …) : voici quelques-uns des enjeux de ce cours. Ses objectifs sont donc langagiers, mais aussi culturels et pratiques !

Note importante: ce Mooc ne remplace pas la passation de tests attestant du niveau B1 ou B2 tels que ceux proposés par le Ciep: TCF, Delf ou Dalf.

Ce cours a été financé grâce au soutien de l’Université Paris-Saclay et celui de la fondation Patrick et Lina Drahi.

« l’Ecole polytechnique vous concède une licence personnelle, non exclusive et non transférable vous permettant d’accéder et d’utiliser les contenus diffusés sur le site Coursera. En aucun cas, vous ne pouvez exploiter, de quelle que manière que ce soit les contenus diffusés sur le site Coursera, à d’autres fins que des fins personnelles. Toute reproduction, diffusion et utilisation collective à quelque titre que ce soit, tout usage commercial, ou toute mise à disposition de tiers, en l’état ou modifiés, de contenus, de cours ou d’œuvres intégrées à ceux-ci sont strictement interdits »."
https://www.coursera.org/learn/business,English for Business and Entrepreneurship,409291,University of Pennsylvania,4345,"Welcome to English for Business and Entrepreneurship, a course created by the University of Pennsylvania, and funded by the U.S. Department of State Bureau of Educational and Cultural Affairs, Office of English Language Programs. To enroll in this course for free, click on “Enroll now” and then select ""Full Course.  No certificate.""

This course is designed for non-native English speakers who are interested in learning more about the global business economy. In this course, you will learn about topics and language necessary to succeed in the international workplace.  You will explore business English through authentic readings and video lectures, while learning about business vocabulary, concepts, and issues. Unit 1 will provide an introduction to entrepreneurship by examining ideas, products, and opportunities. In unit 2, you will learn about the basics of market research, including how to identify an opportunity. The next unit in the course will focus on business plans, why these plans are important, and will give you a chance to practice composing a business plan. In the final unit of the course, we will present basics for funding a business and will help you create a persuasive presentation, or pitch, based on a business plan. 

Unless otherwise noted, all course materials are available for re-use, repurposing and free distribution under a Creative Commons 4.0 Attribution license.

Supplemental reading materials were provided by Newsela, which publishes daily news articles at a level that's just right for each English language learner."
https://www.coursera.org/learn/learn-speak-korean1,Learn to Speak Korean 1,396826,Yonsei University,9630,"Welcome to Learn to Speak Korean 1!This course is for beginner students who are familiar with the Korean alphabet, Hangeul. Through this course students will learn the skills essential for daily interactions with Koreans while living in Korea. 

This course consists of six modules, and each module is composed of five units. Each unit has vocabulary, grammar and expressions, conversation practice, video clips, quizzes, a workbook, and vocabulary lists. In order to assist students with their independent studies, Korean learning materials such as lecture notes, workbooks, and vocabulary lists detailing each day’s lecture are also provided. The vocabulary lists are accompanied by English, Chinese, and Japanese translations.

I hope that you enjoy all this program has to offer over the next six weeks. After studying in this program, you will be able to have a real Korean conversation with your newly acquired knowledge of the Korean language. Thank you!

Your Course Team

Chief Contents Developer: Sang Mee Han
Contents Developers: Bock Ja Lee, Yoo Kyung Choi, Ha Min Cho,  Ju Eun Kim
Production Assistants: Jin Hee Kim, Eun Hye Kim"
https://www.coursera.org/learn/english-composition,English Composition I,373828,Duke University,972,"You will gain a foundation for college-level writing valuable for nearly any field. Students will learn how to read carefully, write effective arguments, understand the writing process, engage with others' ideas, cite accurately, and craft powerful prose. Course Learning Objectives
•	Summarize, analyze, question, and evaluate written and visual texts
•	Argue and support a position
•	Recognize audience and disciplinary expectations
•	Identify and use the stages of the writing process
•	Identify characteristics of effective prose
•	Apply proper citation practices
•	Discuss applying your writing knowledge to other writing occasions"
https://www.coursera.org/professional-certificates/arizona-state-university-tesol,Arizona State University TESOL,43097,Arizona State University,4667,"This course is designed for anyone who wants to teach English anywhere in the world. If you want to become a teacher, polish your teaching skills, or add a credential to your resume, this is the course for you! Get certified by a nationally-ranked university."
https://www.coursera.org/specializations/improve-english,Improve Your English Communication Skills,548124,Georgia Institute of Technology,14881,"This Specialization helps you improve your professional communication in English for successful business interactions. Each course focuses on a particular area of communication in English: writing emails, speaking at meetings and interviews, giving presentations, and networking online. Whether you want to communicate to potential employers, employees, partners or clients, better English communication can help you achieve your language and professional goals. The Capstone course will focus especially on making those important connections to take your career or business to the next level. Make yourself more competitive by improving your English through this Specialization: Improve Your English Communication Skills."
https://www.coursera.org/professional-certificates/arizona-state-university-tesol,Arizona State University TESOL,43097,Arizona State University,4667,"This course is designed for anyone who wants to teach English anywhere in the world. If you want to become a teacher, polish your teaching skills, or add a credential to your resume, this is the course for you! Get certified by a nationally-ranked university."
https://www.coursera.org/specializations/tesol,"TESOL Certificate, Part 1: Teach English Now!",69760,Arizona State University,8922,"Demonstrate basic foundational principles, recognize second or foreign language learning theories, and design and plan lessons to teach English as a second or foreign language effectively.This specialization is the first of two specializations that make up the TESOL Certificate from Arizona State University. In this specialization, you will learn about the basic foundational principles of language acquisition and the basic techniques founded upon those principles. It will describe second or foreign language theories, and basic studies in second language acquisition and their pedagogical implications. It will elaborate upon basic design for lesson plans and provide access to professional resources. In the final Capstone Project, in collaboration with Arizona State University’s Global Launch, you will apply the skills you learned by designing a lesson plan which includes learning outcomes, assessments, materials, classroom management techniques and the learning activities themselves. When you complete this specialization, go on to the second specialization in order to complete your TESOL certificate experience!"
https://www.coursera.org/specializations/learn-spanish,Learn Spanish: Basic Spanish Vocabulary,117289,"University of California, Davis",2947,"¿Habla usted español? Spanish is the second most spoken language on earth, second only to Mandarin, and growing in use every day. This specialization is designed for the beginner who may have no experience with learning a second language but who wants to be able to read, write and speak Spanish for personal, travel or business use, or who just wants to learn a second language and build cultural awareness. The topical approach of each course allows learners to develop sets of vocabularies that will form the foundation for a broad understanding of the language. Learners will start with the basics, including common expressions, pronunciation and grammar, and work toward building a functional vocabulary of the 1500 most commonly used Spanish words. The specialization includes 4 courses that progressively build on the skills learned previously, and culminates in a project that allows learners to apply their knowledge and language skills."
https://www.coursera.org/specializations/business-english,Business English Communication Skills,111388,University of Washington,3033,"This Specialization is designed to teach you to communicate effectively in English in professional contexts. You will expand your English vocabulary, improve your ability to write and speak in English in both social and professional interactions, and learn terminology and skills that you can apply to business negotiations, telephone conversations, written reports and emails, and professional presentations."
https://www.coursera.org/specializations/intermediate-grammar,Learn English: Intermediate Grammar,107668,"University of California, Irvine",3711,"This specialization covers common topics in intermediate grammar, such as perfect verb tenses and adjective clauses. It will also cover ""tricky English"" grammar topics that learners of English often find frustrating. The capstone will give you a chance to review all of the knowledge you've learned in the courses and create a multi-media ""scrapbook"" of grammar to keep with you after the specialization ends."
https://www.coursera.org/specializations/tesol-certificate-2,"TESOL Certificate, Part 2: Teach English Now!",26510,Arizona State University,2152,"This specialization is the second of two specializations that make up the TESOL Certificate from Arizona State University. This Specialization builds on the theories learned in TESOL Certificate, Part 1: Teach English Now! Foundational Principles. It covers the design and implementation of reading and writing, listening and speaking, and technology enriched activities, as well as a teaching practicum. In the final Capstone Project, developed by international educators and TESOL specialists at ASU’s Global Launch, you’ll apply the skills you learned by demonstrating your ability to teach through video recordings and by reflecting on your own and others’ teaching. When you complete both Specializations, you will submit your work for expert review to receive your ASU 150-hour TESOL Certificate, in addition to your Coursera certificates."
https://www.coursera.org/learn/learn-korean,First Step Korean,1277792,Yonsei University,45571,"This is an elementary-level Korean language course, consisting of 5 lessons with 4 units, and covers 4 skills: reading, writing, listening and speaking. The main topics include basic expressions used in everyday life, such as greetings, introducing yourself, talking about your family and a daily life and so on. Each lesson covers dialogues, pronunciation, vocabulary, grammar, quizzes and role-plays. After completing this course, you will be able to
1. read and write Korean alphabet.
2. communicate in Korean with basic expressions.
3. learn basic knowledge on Korean culture.

It’s fun and easy to follow! Enjoy it!"
https://www.coursera.org/specializations/hsk-learn-chinese,Learn Chinese: HSK Test Preparation,29502,Peking University,2205,"This specialization consists of three elementary language courses, aims to improve your Chinese language skills effectively and systematically. This specialization introduces everyday language and includes activities to practice all four language skill: conversation, comprehension, reading and writing. You will learn about Chinese culture and basic Chinese Characters more, will possess the ability to further your Chinese language studies."
https://www.coursera.org/specializations/advanced-grammar-punctuation,Learn English: Advanced Grammar and Punctuation,65023,"University of California, Irvine",1762,This specialization follows our Learn English: Intermediate Grammar specialization and includes more advanced grammar concepts such as noun clauses and conditionals. You'll also learn how to blend verb tenses effectively and how to punctuate sentences correctly. This specialization is useful for non-native English speakers who want to improve their fluency or native speakers who want to improve their accuracy in using English for academic or professional purposes.
https://www.coursera.org/specializations/google-golang,Programming with Google Go,33033,"University of California, Irvine",2181,"This specialization introduces the Go programming language from Google and provides learners with an overview of Go's special features. Upon completing the three-course sequence, learners will have gained the knowledge and skills needed to create concise, efficient, and clean applications using Go."
https://www.coursera.org/specializations/business-english-speakers,Business English for Non-Native Speakers,50610,The Hong Kong University of Science and Technology,795,"This Specialization will introduce non-native speakers of English to methods for developing English language and communication skills for the workplace, doing business, cross-cultural understanding, and business case study analysis. You'll apply these skills in the final Capstone Project by analysing a current business case study and providing recommendations to a target audience in both presentation and written formats."
https://www.coursera.org/learn/korean-language-intermediate,A Bridge to the World: Korean Language for Intermediate1 ,29349,Sungkyunkwan University,259,"This course is designed for anyone who wants to learn Korean. This course is useful for learners who want to improve their communication skills on personal topics frequently encountered in their daily life after learning basic Korean. Through this class, you can use expressions such as introducing, talking about experiences, and comforting, and you will be able to increase your understanding of basic Korean culture. This course is organized in the order of core expression, conversation, grammar, and self-assessment. The entire course is six weeks long, and consists of two sub-themes within one major topic, so there are a total of 12 lessons. Improve your Korean language skills with this course!Chief Contents Developer: Su Mi Lee
Contents Developers: Pil Yeo Shin, Hye Kyung Park 
Production Assistant: Mi Seon Lee
Part of this course was developed with K-MOOC(Korean MOOC) funds."
https://www.coursera.org/learn/learn-speak-korean1,Learn to Speak Korean 1,396826,Yonsei University,9630,"Welcome to Learn to Speak Korean 1!This course is for beginner students who are familiar with the Korean alphabet, Hangeul. Through this course students will learn the skills essential for daily interactions with Koreans while living in Korea. 

This course consists of six modules, and each module is composed of five units. Each unit has vocabulary, grammar and expressions, conversation practice, video clips, quizzes, a workbook, and vocabulary lists. In order to assist students with their independent studies, Korean learning materials such as lecture notes, workbooks, and vocabulary lists detailing each day’s lecture are also provided. The vocabulary lists are accompanied by English, Chinese, and Japanese translations.

I hope that you enjoy all this program has to offer over the next six weeks. After studying in this program, you will be able to have a real Korean conversation with your newly acquired knowledge of the Korean language. Thank you!

Your Course Team

Chief Contents Developer: Sang Mee Han
Contents Developers: Bock Ja Lee, Yoo Kyung Choi, Ha Min Cho,  Ju Eun Kim
Production Assistants: Jin Hee Kim, Eun Hye Kim"
https://www.coursera.org/learn/tesol-writing,"Teach English Now! Second Language Reading, Writing, and Grammar ",83473,Arizona State University,2101,"In this course, you will learn ideas for teaching reading and writing courses, and how to include grammar instruction within them.  Learn how to help students with differing types of reading problems and how to implement both intensive and extensive reading strategies.  Learn strategies to engage students in the stages of writing--pre-writing, writing, and post-writing.  Find out about different writing problems that students may encounter.  Incorporate grammar through the use of noticing and input enhancement."
https://www.coursera.org/specializations/tesol,"TESOL Certificate, Part 1: Teach English Now!",69760,Arizona State University,8922,"Demonstrate basic foundational principles, recognize second or foreign language learning theories, and design and plan lessons to teach English as a second or foreign language effectively.This specialization is the first of two specializations that make up the TESOL Certificate from Arizona State University. In this specialization, you will learn about the basic foundational principles of language acquisition and the basic techniques founded upon those principles. It will describe second or foreign language theories, and basic studies in second language acquisition and their pedagogical implications. It will elaborate upon basic design for lesson plans and provide access to professional resources. In the final Capstone Project, in collaboration with Arizona State University’s Global Launch, you will apply the skills you learned by designing a lesson plan which includes learning outcomes, assessments, materials, classroom management techniques and the learning activities themselves. When you complete this specialization, go on to the second specialization in order to complete your TESOL certificate experience!"
https://www.coursera.org/professional-certificates/arizona-state-university-tesol,Arizona State University TESOL,43097,Arizona State University,4667,"This course is designed for anyone who wants to teach English anywhere in the world. If you want to become a teacher, polish your teaching skills, or add a credential to your resume, this is the course for you! Get certified by a nationally-ranked university."
https://www.coursera.org/learn/media,English for Media Literacy,85582,University of Pennsylvania,1854,"Welcome to English for Media Literacy,  a course created by the University of Pennsylvania, and funded by the U.S. Department of State Bureau of Educational and Cultural Affairs, Office of English Language Programs. To enroll in this course for free, click on “Enroll now” and then select ""Full Course.  No certificate.""

This course is designed for non-native English speakers who are interested in learning more about U.S. media literacy.  In this course, you will explore different types of mass media, such as newspapers, magazines, television, and social media. This course will also give you the opportunity to develop a broader understanding of the role media plays in our lives, while building your vocabulary and giving you the language skills needed to analyze what you read and watch. The first unit in this course will provide an introduction to media literacy and give you an opportunity to evaluate your own media literacy level. In unit 2, you will learn how to identify facts versus opinions in the media. The next unit in the course will focus on the differences between social media and traditional media, while unit 4 will look at how gender and identity are covered in the media. In the final unit of the course, you will demonstrate your increased media literacy by through a culminating final project on social media.  

Development of this course was funded by the U.S. Department of State Bureau of Educational and Cultural Affairs Office of English Language Programs. Unless otherwise noted, all course materials are available for re-use, repurposing and free distribution under a Creative Commons 4.0 Attribution license."
https://www.coursera.org/learn/simple-past-tense,Simple Past Tense,9086,"University of California, Irvine",276,"In this course, “Simple Past Tense,” you will learn how to form and use the simple past. You will see that there are a lot of irregular verbs in the simple past, but there are some patterns you can use to help you remember. You will learn about spelling changes when you add an “-ed” ending, as well as how to form negatives and questions in the past. You will also learn about object pronouns and some other forms of adjectives to describe and make comparisons."
