link,title,enroll_count,provider,num_ratings,description
https://www.coursera.org/specializations/robotics,Robotics,44264,University of Pennsylvania,2927,"The Introduction to Robotics Specialization introduces you to the concepts of robot flight and movement, how robots perceive their environment, and how they adjust their movements to avoid obstacles, navigate difficult terrains and accomplish complex tasks such as construction and disaster recovery. You will be exposed to real world examples of how robots have been applied in disaster situations, how they have made advances in human health care and what their future capabilities will be. The courses build towards a capstone in which you will learn how to program a robot to perform a variety of movements such as flying and grasping objects."
https://www.coursera.org/specializations/deep-learning,Deep Learning,719089,DeepLearning.AI,127189,"The Deep Learning Specialization is a foundational program that will help you understand the capabilities, challenges, and consequences of deep learning and prepare you to participate in the development of leading-edge AI technology.In this Specialization, you will build and train neural network architectures such as Convolutional Neural Networks, Recurrent Neural Networks, LSTMs, Transformers, and learn how to make them better with strategies such as Dropout, BatchNorm, Xavier/He initialization, and more. Get ready to master theoretical concepts and their industry applications using Python and TensorFlow and tackle real-world cases such as speech recognition, music synthesis, chatbots, machine translation, natural language processing, and more.

AI is transforming many industries. The Deep Learning Specialization provides a pathway for you to take the definitive step in the world of AI by helping you gain the knowledge and skills to level up your career. Along the way, you will also get career advice from deep learning experts from industry and academia."
https://www.coursera.org/specializations/self-driving-cars,Self-Driving Cars,61003,University of Toronto,2416,"Be at the forefront of the autonomous driving industry. With market researchers predicting a $42-billion market and more than 20 million self-driving cars on the road by 2025, the next big job boom is right around the corner.

This Specialization gives you a comprehensive understanding of state-of-the-art engineering practices used in the self-driving car industry. You'll get to interact with real data sets from an autonomous vehicle (AV)―all through hands-on projects using the open source simulator CARLA.

Throughout your courses, you’ll hear from industry experts who work at companies like Oxbotica and Zoox as they share insights about autonomous technology and how that is powering job growth within the field.

You’ll learn from a highly realistic driving environment that features 3D pedestrian modelling and environmental conditions. When you complete the Specialization successfully, you’ll be able to build your own self-driving software stack and be ready to apply for jobs in the autonomous vehicle industry.

It is recommended that you have some background in linear algebra, probability, statistics, calculus, physics, control theory, and Python programming. You will need these specifications in order to effectively run the CARLA simulator: Windows 7 64-bit (or later) or Ubuntu 16.04 (or later), Quad-core Intel or AMD processor (2.5 GHz or faster), NVIDIA GeForce 470 GTX or AMD Radeon 6870 HD series card or higher, 8 GB RAM, and OpenGL 3 or greater (for Linux computers)."
https://www.coursera.org/specializations/iot,An Introduction to Programming the Internet of Things (IOT),140276,"University of California, Irvine",11760,"Design, create, and deploy a fun IoT device using Arduino and Raspberry Pi platforms.

This Specialization covers embedded systems, the Raspberry Pi Platform, and the Arduino environment for building devices that can control the physical world. In the final Capstone Project, you’ll apply the skills you learned by designing, building, and testing a microcontroller-based embedded system, producing a unique final project suitable for showcasing to future employers. Please note that this specialization does not offer discussion forums."
https://www.coursera.org/learn/research-methods,Understanding Research Methods,266354,University of London & SOAS University of London,6374,"This MOOC is about demystifying research and research methods. It will outline the fundamentals of doing research, aimed primarily, but not exclusively, at the postgraduate level. It places the student experience at the centre of our endeavours by engaging learners in a range of robust and challenging discussions and exercises befitting SOAS, University of London's status as a research-intensive university and its rich research heritage.The course will appeal to those of you who require an understanding of research approaches and skills, and importantly an ability to deploy them in your studies or in your professional lives. In particular, this course will aid those of you who have to conduct research as part of your postgraduate studies but do not perhaps have access to research methods courses, or for those of you who feel you would like additional support for self-improvement. No prior knowledge or experience in research is required to take this course and as such, the course is for everyone. 

This MOOC draws on a wealth of existing course material developed to support research training across SOAS, University of London and particularly drawing from the Centre for International Studies and Diplomacy (CISD). In 2015, the course was nominated for the prestigious Guardian University Award for its innovative approach to online learning.

Participation in or completion of this online course will not confer academic credit for University of London programmes"
https://www.coursera.org/learn/robotica-inicial,Robótica,242046,Universidad Nacional Autónoma de México,1429,"¿Te gustaría construir un robot y controlarlo a través de tu celular? ¡Estás en el curso indicado! Aquí podrás armar y animar un robot además de controlarlo con tu teléfono móvil, aún cuando te encuentres lejos de éste. ¿No sabes acerca de mecánica, electrónica o programación? ¡No te preocupes! Éste es un curso en el que aplicarás los conocimientos básicos sobre mecánica, electricidad, electrónica y programación para construir y controlar tu robot. 

Parece complicado, pero no te preocupes, ya verás que resulta muy sencillo. El único requisito es que tengas interés por aprender sobre robótica móvil.

Subtítulos disponibles en español 
Cinco semanas de estudio
Dos/cuatro horas por semana

* Los videos de este curso fueron producidos en colaboración con Fundación Televisa, apoyando el acceso a la educación."
https://www.coursera.org/learn/how-things-work,How Things Work: An Introduction to Physics,237683,University of Virginia,2660,An introduction to physics in the context of everyday objects.
https://www.coursera.org/learn/engineering-mechanics-statics,Introduction to Engineering Mechanics,224513,Georgia Institute of Technology,4549,"This course is an introduction to learning and applying the principles required to solve engineering mechanics problems.   Concepts will be applied in this course from previous courses you have taken in basic math and physics.  The course addresses the modeling and analysis of static equilibrium problems with an emphasis on real world engineering applications and problem solving.The copyright of all content and materials in this course are owned by either the Georgia Tech Research Corporation or Dr. Wayne Whiteman.  By participating in the course or using the content or materials, whether in whole or in part, you agree that you may download and use any content and/or material in this course for your own personal, non-commercial use only in a manner consistent with a student of any academic course.  Any other use of the content and materials, including use by other academic universities or entities, is prohibited without express written permission of the Georgia Tech Research Corporation.  Interested parties may contact Dr. Wayne Whiteman directly for information regarding the procedure to obtain a non-exclusive license."
https://www.coursera.org/learn/astro,Astronomy: Exploring Time and Space,202800,University of Arizona,3358,This course is designed for anyone who is interested in learning more about modern astronomy. We will help you get up to date on the most recent astronomical discoveries while also providing support at an introductory level for those who have no background in science.
https://www.coursera.org/learn/comparch,Computer Architecture,202818,Princeton University,1965,"In this course, you will learn to design the computer architecture of complex modern microprocessors.All the features of this course are available for free.  It does not offer a certificate upon completion."
https://www.coursera.org/learn/electronics,Introduction to Electronics,193261,Georgia Institute of Technology,2360,"This course introduces students to the basic components of electronics: diodes, transistors, and op amps.  It covers the basic operation and some common applications."
https://www.coursera.org/specializations/cyber-security,Cybersecurity,81078,"University of Maryland, College Park",4132,"The Cybersecurity Specialization covers the fundamental concepts underlying the construction of secure systems, from the hardware to the software to the human-computer interface, with the use of cryptography to secure interactions. These concepts are illustrated with examples drawn from modern practice, and augmented with hands-on exercises involving relevant tools and techniques. Successful participants will develop a way of thinking that is security-oriented, better understanding how to think about adversaries and how to build systems that defend against them."
https://www.coursera.org/learn/stem,"English for Science, Technology, Engineering, and Mathematics",175194,University of Pennsylvania,2485,"Welcome to English for Science, Technology, Engineering, and Mathematics, a course created by the University of Pennsylvania, and funded by the U.S. Department of State Bureau of Educational and Cultural Affairs, Office of English Language Programs.  To enroll in this course for free, click on “Enroll now” and then select ""Full Course.  No certificate."" If you want to get a Coursera Verified Certificate for free, please fill out the Financial Aid form.

This course is designed for non-native English speakers who are interested in improving their English skills in the sciences. In this course, you will explore some of the most innovative areas of scientific study, while expanding your vocabulary and the language skills needed to share scientific information within your community. In unit 1, you will learn how to preview texts and practice some of the language used to make comparisons when talking about global warming and climate change. In unit 2, you will examine the chemistry of climate change and the language of cause and effect. In Unit 3, you will learn about some of the impacts of Climate Change and the language used to describe these effects. In Unit 4, you will learn reading strategies that can help you explore the science behind some new energy systems. In the final unit, you will investigate practical advances in Nanotechnology that help slow down climate change, while developing your own research skills in English. 

Unless otherwise noted, all course materials are available for re-use, repurposing and free distribution under a Creative Commons 4.0 Attribution license.

Supplemental reading materials were provided by Newsela, which publishes daily news articles at a level that's just right for each English language learner."
https://www.coursera.org/learn/arduino-platform,The Arduino Platform and C Programming,173374,"University of California, Irvine",6852,"The Arduino is an open-source computer hardware/software platform for building digital devices and interactive objects that can sense and control the physical world around them. In this class you will learn how the Arduino platform works in terms of the physical board and libraries and the IDE (integrated development environment). You will also learn about shields, which are smaller boards that plug into the main Arduino board to perform other functions such as sensing light, heat, GPS tracking, or providing a user interface display. The course will also cover programming the Arduino using C code and accessing the pins on the board via the software to control external devices. Please note that this course does not include discussion forums.Upon completing this course, you will be able to:
1.       Outline the composition of the Arduino development board
2.       Describe what it means to program the board's firmware
3.       Read board schematics
4.       Install Arduino IDE
5.       Describe what ""shields"" are and how they are used
6.       Specify the role of libraries in the use of shields
7.       Compile and run a program
8.       Name C Variables and Types
9.       Name common C operators
10.     Use conditionals and loops
11.     Explain functions, their definition and invocation
12.     Explain the implications of global variables
13.     Undertake the Arduino build process
14.     Describe the role of the tools behind the IDE
15.     Describe how to invoke functions in classes
16.     Explain the structure of an Arduino sketch
17.     Access the pins of the Arduino
18.     Differentiate between digital and analog pin
19.     Debug embedded software
20.     Explain the importance of controllability and observability in the debugging process
21.     Describe common debugging architectures for embedded systems
22.     Explain how the UART Serial communication protocol works
23.     Describe how the Arduino Serial library performs serial communication"
https://www.coursera.org/specializations/robotics,Robotics,44264,University of Pennsylvania,2927,"The Introduction to Robotics Specialization introduces you to the concepts of robot flight and movement, how robots perceive their environment, and how they adjust their movements to avoid obstacles, navigate difficult terrains and accomplish complex tasks such as construction and disaster recovery. You will be exposed to real world examples of how robots have been applied in disaster situations, how they have made advances in human health care and what their future capabilities will be. The courses build towards a capstone in which you will learn how to program a robot to perform a variety of movements such as flying and grasping objects."
https://www.coursera.org/specializations/gis,Geographic Information Systems  (GIS),70333,"University of California, Davis",5296,"Knowledge of Geographic Information Systems (GIS) is an increasingly sought after skill in industries from agriculture to public health. This Specialization, offered in partnership with ArcGIS developer Esri, will teach the skills you need to successfully use GIS software in a professional setting. You will learn how to analyze your spatial data, use cartography techniques to communicate your results in maps, and collaborate with peers in GIS and GIS-dependent fields. In the final Capstone Project, you will create a professional-quality GIS portfolio piece using a combination of data identification and collection, analytical map development, and spatial analysis techniques.Interested in learning advanced GIS topics? Check out the Spatial Data Analysis and Visualization MasterTrack™ Program."
https://www.coursera.org/specializations/iot,An Introduction to Programming the Internet of Things (IOT),140276,"University of California, Irvine",11760,"Design, create, and deploy a fun IoT device using Arduino and Raspberry Pi platforms.

This Specialization covers embedded systems, the Raspberry Pi Platform, and the Arduino environment for building devices that can control the physical world. In the final Capstone Project, you’ll apply the skills you learned by designing, building, and testing a microcontroller-based embedded system, producing a unique final project suitable for showcasing to future employers. Please note that this specialization does not offer discussion forums."
https://www.coursera.org/specializations/robotics,Robotics,44264,University of Pennsylvania,2927,"The Introduction to Robotics Specialization introduces you to the concepts of robot flight and movement, how robots perceive their environment, and how they adjust their movements to avoid obstacles, navigate difficult terrains and accomplish complex tasks such as construction and disaster recovery. You will be exposed to real world examples of how robots have been applied in disaster situations, how they have made advances in human health care and what their future capabilities will be. The courses build towards a capstone in which you will learn how to program a robot to perform a variety of movements such as flying and grasping objects."
https://www.coursera.org/specializations/cyber-security,Cybersecurity,81078,"University of Maryland, College Park",4132,"The Cybersecurity Specialization covers the fundamental concepts underlying the construction of secure systems, from the hardware to the software to the human-computer interface, with the use of cryptography to secure interactions. These concepts are illustrated with examples drawn from modern practice, and augmented with hands-on exercises involving relevant tools and techniques. Successful participants will develop a way of thinking that is security-oriented, better understanding how to think about adversaries and how to build systems that defend against them."
https://www.coursera.org/specializations/power-electronics,Power Electronics,20991,University of Colorado Boulder,2852,"Design modern switched-mode power converters; create high-performance control loops around power converters; understand efficiency, power density and cost trade-offs

By 2030, 80% of all electrical energy will be processed by power electronics. Professional advantages continue to grow for technical engineers who understand the fundamental principles and technical requirements of modern power conversion systems. This specialization covers design-oriented analysis, modeling and simulation techniques leading to practical engineering of high-performance power electronics systems."
https://www.coursera.org/specializations/self-driving-cars,Self-Driving Cars,61003,University of Toronto,2416,"Be at the forefront of the autonomous driving industry. With market researchers predicting a $42-billion market and more than 20 million self-driving cars on the road by 2025, the next big job boom is right around the corner.

This Specialization gives you a comprehensive understanding of state-of-the-art engineering practices used in the self-driving car industry. You'll get to interact with real data sets from an autonomous vehicle (AV)―all through hands-on projects using the open source simulator CARLA.

Throughout your courses, you’ll hear from industry experts who work at companies like Oxbotica and Zoox as they share insights about autonomous technology and how that is powering job growth within the field.

You’ll learn from a highly realistic driving environment that features 3D pedestrian modelling and environmental conditions. When you complete the Specialization successfully, you’ll be able to build your own self-driving software stack and be ready to apply for jobs in the autonomous vehicle industry.

It is recommended that you have some background in linear algebra, probability, statistics, calculus, physics, control theory, and Python programming. You will need these specifications in order to effectively run the CARLA simulator: Windows 7 64-bit (or later) or Ubuntu 16.04 (or later), Quad-core Intel or AMD processor (2.5 GHz or faster), NVIDIA GeForce 470 GTX or AMD Radeon 6870 HD series card or higher, 8 GB RAM, and OpenGL 3 or greater (for Linux computers)."
