link,title,enroll_count,provider,num_ratings,description
https://www.coursera.org/specializations/teach-impacts-technology-k12-education,Teaching Impacts of Technology in K-12 Education,4139,University of California San Diego,31,"2% That’s the estimate of how many high school students in all of California took a Computer Science class in 2015. And yet, computers and data are everywhere. Just consider a typical 24 hours in your life … how many different computer devices do you use? We all live in multiple digital worlds that are changing rapidly with new apps, devices, and data analyses offering a constant stream of innovations and technology integrations for our lives.

As it's an integral part of our lives, we’re working towards computer science for all - making it possible for every student, every future member of society, to understand computing and technology. To do so, we need teachers. Teachers prepared to both teach computational concepts and use best practices so kids enjoy and see they can be successful in computer science. This is where you (and this Specialization) come in!

In this Specialization you will both learn about the impacts of computing in our world and how to teach these impacts to K-12 students. We offer both the technical knowledge and also the pedagogical approaches for teaching these concepts. Along the way you’ll engage with freely available materials you can use in your own classroom, as well as learn from teachers currently teaching these concepts in their classrooms.

In short - in this Specialization we'll teach you the computing concepts you need to know and then help you explore and evaluate lesson plans and resources to prepare you for your classroom."
https://www.coursera.org/learn/teaching-evolution,Evolution: A Course for Educators,25390,American Museum of Natural History,312,"How are all of the species living on Earth today related? How does understanding evolutionary science contribute to our well-being? In this course, participants will learn about evolutionary relationships, population genetics, and natural and artificial selection. Participants will explore evolutionary science and learn how to integrate it into their classrooms."
https://www.coursera.org/learn/earth-climate-change,Our Earth's Future,33519,American Museum of Natural History,726,"Our Earth’s Future is about the science of climate change and how to talk about it. You will learn from scientists in the fields of climatology, oceanography, Earth science, and anthropology who study how climate change is affecting people, populations, and ways of life. Explore the multiple lines of evidence for the human-induced climate change that is happening today, and consider what that means for the future of our planet. At the end of this course you will be able to understand key scientific principles, identify and address misconceptions, and contribute confidently to conversations about climate change."
https://www.coursera.org/learn/genetics-society,Genetics and Society: A Course for Educators,14335,American Museum of Natural History,134,"How have advances in genetics affected society? What do we need to know to make ethical decisions about genetic technologies? This course includes the study of cloning, genetic enhancement, and ownership of genetic information. Course participants will acquire the tools to explore the ethics of modern genetics and learn how to integrate these issues into their classrooms."
https://www.coursera.org/learn/earth-amnh,The Dynamic Earth: A Course for Educators,16418,American Museum of Natural History,205,"The AMNH course The Dynamic Earth: A Course for Educators provides students with an overview of the origin and evolution of the Earth. Informed by the recently released Next Generation Science Standards, this course examines geological time scales, radiometric dating, and how scientists “read the rocks.” We will explore dramatic changes in the Earth over the last 4 billion years, including how the evolution of life on Earth has affected its atmosphere. In addition to looking at geology on a global scale, participants will take to their own backyards to explore and share their local geologic history. Course participants will bring their understanding of the dynamic Earth - along with content resources, discussion questions, and assignments - into their own teaching."
https://www.coursera.org/learn/instructional-methods-education,Instructional Methods in Health Professions Education,17467,University of Michigan,386,"This course provides those involved in educating members of the health professions an asynchronous, interdisciplinary, and interactive way to obtain, expand, and improve their teaching skills. These skills can then be applied within their own professional context, with a variety of learners, extending across many stages.After completing this course, learners will:
1. Understand educational theory as it relates to health professions education
2. Match instructional methods with desired educational outcomes
3. Learn a variety of applied teaching techniques
4. Share successful teaching strategies

Suggested resources will include educational videos, individual readings, recommended
reference books, and crowd-sourced recommendations. All students should have
dependable access to the internet with video streaming capabilities. Some students
may want the ability to utilize on-line video conferencing as well."
https://www.coursera.org/learn/mathematics-sport,Math behind Moneyball,15265,University of Houston,94,"Learn how probability, math, and statistics can be used to help baseball, football and basketball teams improve, player and lineup selection as well as in game strategy."
https://www.coursera.org/learn/teachingscience,Teaching Science at University,9166,University of Zurich,154,"This course will prepare you for teaching science in higher education. In this MOOC you will learn to make your knowledge as an excellent researcher accessible to your students. We will show you how to communicate science to novices as well as advanced students in science. You will experience the value of teaching with analogies and you will be guided to train your students' competences. Based on up-to-date findings from research into teaching and learning science you will be able to- implement evidence-based strategies into your own teaching,
- use students everyday-conceptions for the development of courses,
- prepare analogies and models to teach in your field,
- implement problem-based teaching,
- set up for experiments and teach the nature of science.

This course enables you to teach abstract science topics to your students and make them become active and successful learners. The course is based on lectures (videos), handouts (knowledge-to practice briefs), which supplement the knowledge taught in the lectures and assignments to implement the teaching strategies into your own practice."
https://www.coursera.org/learn/covid-19-contact-tracing,COVID-19 Contact Tracing,1382987,Johns Hopkins University,94605,"The COVID-19 crisis has created an unprecedented need for contact tracing across the country, requiring thousands of people to learn key skills quickly. The job qualifications for contact tracing positions differ throughout the country and the world, with some new positions open to individuals with a high school diploma or equivalent. In this introductory course, students will learn about the science of SARS-CoV-2 , including the infectious period, the clinical presentation of COVID-19, and the evidence for how SARS-CoV-2 is transmitted from person-to-person and why contact tracing can be such an effective public health intervention. Students will learn about how contact tracing is done, including how to build rapport with cases, identify their contacts, and support both cases and their contacts to stop transmission in their communities. The course will also cover several important ethical considerations around contact tracing, isolation, and quarantine. Finally, the course will identify some of the most common barriers to contact tracing efforts -- along with strategies to overcome them."
https://www.coursera.org/learn/financial-markets-global,Financial Markets,1366709,Yale University,23696,"An overview of the ideas, methods, and institutions that permit human society to manage risks and foster enterprise.  Emphasis on financially-savvy leadership skills. Description of practices today and analysis of prospects for the future. Introduction to risk management and behavioral finance principles to understand the real-world functioning of securities, insurance, and banking industries.  The ultimate goal of this course is using such industries effectively and towards a better society."
